S1;9647;3595;12497;215;85
S2;56;40;631;3;1
S3;3929;1631;808119;107;2
S4;38;20;3451;5;1
S5;74;37;47054;5;2
S6;282;83;189055;11;11
S7;439;196;48308;5;1
S8;107;25;179426;34;1159
S9;9954;4813;59345;640;309
S10;3172;577;893167;41;9054
S11;101;58;47078;122;6
S12;3612;3612;308675;1096;144
S13;1240;827;66338;62;28
S14;8842;4869;184380;1666;1620
C1;7256;145;9801201;43;1000
C2;432;432;804601;9;0
C3;1588;517;4716307;134;9
C4;21906;702;20625816;432;50
C5;6369;3847;7339441;66;0
C6;50538;50538;2877902;832;148
C7;41275;140;200049;279;134
C8;3274;583;1685661;1035;1973
C9;9820;9820;13354828;36;0
C10;1667;1667;204485;14;10
L1;63296;1190;9324645;3337;209287
L2;428553;428553;12514651;98;148
L3;-1;-1;-1;-1;-1
L4;1067162;1067162;256372271;1313;0
L5;-1;-1;-1;-1;-1
L6;-1;-1;-1;-1;-1
L7;92151;92151;281487012;966;0
L8;892836;892836;38357185;7016;0
CH1;755992;755992;11788943;2181;0
CH2;-1;-1;-1;-1;-1
CH3;8103;8103;1555000;118;0
CH4;214557;214557;758415550;10275;0
CH5;-1;-1;-1;-1;-1
CH6;242;242;9147;3;0
CH7;43090;43090;888231;4002;0
CH8;-1;-1;-1;-1;-1
