S1;4688;4012;12731;74;85
S2;61;46;641;4;1
S3;4639;1509;944187;134;2
S4;38;22;3436;6;1
S5;80;38;53959;7;2
S6;329;89;235037;16;11
S7;433;177;50651;6;1
S8;93;23;194667;38;1159
S9;1535;935;57065;54;309
S10;4116;570;898553;56;9054
S11;100;64;48060;135;6
S12;3345;3345;277550;1049;144
S13;1501;869;80809;68;28
S14;10540;3943;220309;2143;1620
C1;7078;175;9173340;46;1000
C2;411;411;846700;9;0
C3;1422;503;4800947;135;9
C4;22278;634;20517411;424;50
C5;7850;4403;8966068;85;0
C6;52659;52659;2798892;849;148
C7;41484;118;206864;264;134
C8;4031;627;2026481;1149;1973
C9;9667;9667;11760707;36;0
C10;1854;1854;195294;14;10
L1;63292;1200;9435891;3471;209287
L2;372113;372113;10783610;85;148
L3;-1;-1;-1;-1;-1
L4;1189718;1189718;262311519;1223;0
L5;-1;-1;-1;-1;-1
L6;-1;-1;-1;-1;-1
L7;97303;97303;296107558;1079;0
L8;1071425;1071425;43904930;8174;0
CH1;864216;864216;13749267;2458;0
CH2;-1;-1;-1;-1;-1
CH3;8227;8227;1942871;145;0
CH4;267638;267638;794904771;10916;0
CH5;-1;-1;-1;-1;-1
CH6;232;232;9592;4;0
CH7;49657;49657;1030661;4700;0
CH8;-1;-1;-1;-1;-1
