S1;6986;3369;11191;158;85
S2;45;45;669;3;1
S3;1419;1419;776045;96;2
S4;21;21;3318;5;1
S5;36;34;51213;5;2
S6;92;81;211526;11;11
S7;210;210;53153;5;1
S8;60;23;165142;33;1159
S9;4107;2581;57223;151;309
S10;2648;534;858487;45;9054
S11;54;54;44176;113;6
S12;1626;1626;312908;793;144
S13;671;551;74783;16;28
S14;6463;1496;177287;1071;1620
C1;6358;156;9454651;40;1000
C2;4656;4656;906480;9;0
C3;8421;507;4824456;136;9
C4;7848;2958;22052914;435;50
C5;6398;3871;7232710;63;0
C6;44748;44748;2624662;789;148
C7;33992;129;186136;238;134
C8;3573;626;1853012;1123;1973
C9;9019;9019;11647140;33;0
C10;1599;1599;178644;11;10
L1;62313;1024;9252933;3433;209287
L2;435630;435630;12978120;100;148
L3;-1;-1;-1;-1;-1
L4;903277;903277;152701493;979;0
L5;-1;-1;-1;-1;-1
L6;-1;-1;-1;-1;-1
L7;70346;70346;166384333;847;0
L8;880547;880547;14373425;5899;0
CH1;772319;772319;12442428;2414;0
CH2;-1;-1;-1;-1;-1
CH3;8223;8223;1723328;131;0
CH4;112085;112085;330981691;7321;0
CH5;1103577;1103577;299880649;19325;0
CH6;226;226;8628;3;0
CH7;23762;23762;889037;2423;0
CH8;-1;-1;-1;-1;-1
